time,COMPEMNT,,
1.68,6.67323,53.17323,53.17323
1.69,6.67323,53.17323,53.17323
1.7,6.67323,53.17323,53.17323
1.71,6.68402,53.18402,53.18402
1.72,6.68402,53.18402,53.18402
1.73,6.68402,53.18402,53.18402
1.74,6.68402,53.18402,53.18402
1.75,6.68402,53.18402,53.18402
1.76,6.68402,53.18402,53.18402
1.77,6.68402,53.18402,53.18402
1.78,6.68402,53.18402,53.18402
1.79,6.68402,53.18402,53.18402
1.8,6.68402,53.18402,53.18402
1.81,6.64531,53.14531,53.14531
1.82,6.64531,53.14531,53.14531
1.83,6.64531,53.14531,53.14531
1.84,6.64531,53.14531,53.14531
1.85,6.64531,53.14531,53.14531
1.86,6.64531,53.14531,53.14531
1.87,6.64531,53.14531,53.14531
1.88,6.64531,53.14531,53.14531
1.89,6.64531,53.14531,53.14531
1.9,6.64531,53.14531,53.14531
1.91,6.62155,53.12155,53.12155
1.92,6.62155,53.12155,53.12155
1.93,6.62155,53.12155,53.12155
1.94,6.62155,53.12155,53.12155
1.95,6.62155,53.12155,53.12155
1.96,6.62155,53.12155,53.12155
1.97,6.62155,53.12155,53.12155
1.98,6.62155,53.12155,53.12155
1.99,6.62155,53.12155,53.12155
2,6.62155,53.12155,53.12155
2.01,6.57879,53.07879,53.07879
2.02,6.57879,53.07879,53.07879
2.03,6.57879,53.07879,53.07879
2.04,6.57879,53.07879,53.07879
2.05,6.57879,53.07879,53.07879
2.06,6.57879,53.07879,53.07879
2.07,6.57879,53.07879,53.07879
2.08,6.57879,53.07879,53.07879
2.09,6.57879,53.07879,53.07879
2.1,6.57879,53.07879,53.07879
2.11,6.62337,53.12337,53.12337
2.12,6.62337,53.12337,53.12337
2.13,6.62337,53.12337,53.12337
2.14,6.62337,53.12337,53.12337
2.15,6.62337,53.12337,53.12337
2.16,6.62337,53.12337,53.12337
2.17,6.62337,53.12337,53.12337
2.18,6.62337,53.12337,53.12337
2.19,6.62337,53.12337,53.12337
2.2,6.62337,53.12337,53.12337
2.21,6.52824,53.02824,53.02824
2.22,6.52824,53.02824,53.02824
2.23,6.52824,53.02824,53.02824
2.24,6.52824,53.02824,53.02824
2.25,6.52824,53.02824,53.02824
2.26,6.52824,53.02824,53.02824
2.27,6.52824,53.02824,53.02824
2.28,6.52824,53.02824,53.02824
2.29,6.52824,53.02824,53.02824
2.3,6.52824,53.02824,53.02824
2.31,6.55451,53.05451,53.05451
2.32,6.55451,53.05451,53.05451
2.33,6.55451,53.05451,53.05451
2.34,6.55451,53.05451,53.05451
2.35,6.55451,53.05451,53.05451
2.36,6.55451,53.05451,53.05451
2.37,6.55451,53.05451,53.05451
2.38,6.55451,53.05451,53.05451
2.39,6.55451,53.05451,53.05451
2.4,6.55451,53.05451,53.05451
2.41,6.6867,53.1867,53.1867
2.42,6.6867,53.1867,53.1867
2.43,6.6867,53.1867,53.1867
2.44,6.6867,53.1867,53.1867
2.45,6.6867,53.1867,53.1867
2.46,6.6867,53.1867,53.1867
2.47,6.6867,53.1867,53.1867
2.48,6.6867,53.1867,53.1867
2.49,6.6867,53.1867,53.1867
2.5,6.6867,53.1867,53.1867
2.51,6.69578,53.19578,53.19578
2.52,6.69578,53.19578,53.19578
2.53,6.69578,53.19578,53.19578
2.54,6.69578,53.19578,53.19578
2.55,6.69578,53.19578,53.19578
2.56,6.69578,53.19578,53.19578
2.57,6.69578,53.19578,53.19578
2.58,6.69578,53.19578,53.19578
2.59,6.69578,53.19578,53.19578
2.6,6.69578,53.19578,53.19578
2.61,6.65429,53.15429,53.15429
2.62,6.65429,53.15429,53.15429
2.63,6.65429,53.15429,53.15429
2.64,6.65429,53.15429,53.15429
2.65,6.65429,53.15429,53.15429
2.66,6.65429,53.15429,53.15429
2.67,6.65429,53.15429,53.15429
2.68,6.65429,53.15429,53.15429
2.69,6.65429,53.15429,53.15429
2.7,6.65429,53.15429,53.15429
2.71,6.59388,53.09388,53.09388
2.72,6.59388,53.09388,53.09388
2.73,6.59388,53.09388,53.09388
2.74,6.59388,53.09388,53.09388
2.75,6.59388,53.09388,53.09388
2.76,6.59388,53.09388,53.09388
2.77,6.59388,53.09388,53.09388
2.78,6.59388,53.09388,53.09388
2.79,6.59388,53.09388,53.09388
2.8,6.59388,53.09388,53.09388
2.81,6.54973,53.04973,53.04973
2.82,6.54973,53.04973,53.04973
2.83,6.54973,53.04973,53.04973
2.84,6.54973,53.04973,53.04973
2.85,6.54973,53.04973,53.04973
2.86,6.54973,53.04973,53.04973
2.87,6.54973,53.04973,53.04973
2.88,6.54973,53.04973,53.04973
2.89,6.54973,53.04973,53.04973
2.9,6.54973,53.04973,53.04973
2.91,6.63857,53.13857,53.13857
2.92,6.63857,53.13857,53.13857
2.93,6.63857,53.13857,53.13857
2.94,6.63857,53.13857,53.13857
2.95,6.63857,53.13857,53.13857
2.96,6.63857,53.13857,53.13857
2.97,6.63857,53.13857,53.13857
2.98,6.63857,53.13857,53.13857
2.99,6.63857,53.13857,53.13857
3,6.63857,53.13857,53.13857
3.01,6.54589,53.04589,53.04589
3.02,6.54589,53.04589,53.04589
3.03,6.54589,53.04589,53.04589
3.04,6.54589,53.04589,53.04589
3.05,6.54589,53.04589,53.04589
3.06,6.54589,53.04589,53.04589
3.07,6.54589,53.04589,53.04589
3.08,6.54589,53.04589,53.04589
3.09,6.54589,53.04589,53.04589
3.1,6.54589,53.04589,53.04589
3.11,6.68313,53.18313,53.18313
3.12,6.68313,53.18313,53.18313
3.13,6.68313,53.18313,53.18313
3.14,6.68313,53.18313,53.18313
3.15,6.68313,53.18313,53.18313
3.16,6.68313,53.18313,53.18313
3.17,6.68313,53.18313,53.18313
3.18,6.68313,53.18313,53.18313
3.19,6.68313,53.18313,53.18313
3.2,6.68313,53.18313,53.18313
3.21,6.60485,53.10485,53.10485
3.22,6.60485,53.10485,53.10485
3.23,6.60485,53.10485,53.10485
3.24,6.60485,53.10485,53.10485
3.25,6.60485,53.10485,53.10485
3.26,6.60485,53.10485,53.10485
3.27,6.60485,53.10485,53.10485
3.28,6.60485,53.10485,53.10485
3.29,6.60485,53.10485,53.10485
3.3,6.60485,53.10485,53.10485
3.31,6.68424,53.18424,53.18424
3.32,6.68424,53.18424,53.18424
3.33,6.68424,53.18424,53.18424
3.34,6.68424,53.18424,53.18424
3.35,6.68424,53.18424,53.18424
3.36,6.68424,53.18424,53.18424
3.37,6.68424,53.18424,53.18424
3.38,6.68424,53.18424,53.18424
3.39,6.68424,53.18424,53.18424
3.4,6.68424,53.18424,53.18424
3.41,6.6833,53.1833,53.1833
3.42,6.6833,53.1833,53.1833
3.43,6.6833,53.1833,53.1833
3.44,6.6833,53.1833,53.1833
3.45,6.6833,53.1833,53.1833
3.46,6.6833,53.1833,53.1833
3.47,6.6833,53.1833,53.1833
3.48,6.6833,53.1833,53.1833
3.49,6.6833,53.1833,53.1833
3.5,6.6833,53.1833,53.1833
3.51,6.62424,53.12424,53.12424
3.52,6.62424,53.12424,53.12424
3.53,6.62424,53.12424,53.12424
3.54,6.62424,53.12424,53.12424
3.55,6.62424,53.12424,53.12424
3.56,6.62424,53.12424,53.12424
3.57,6.62424,53.12424,53.12424
3.58,6.62424,53.12424,53.12424
3.59,6.62424,53.12424,53.12424
3.6,6.62424,53.12424,53.12424
3.61,6.67101,53.17101,53.17101
3.62,6.67101,53.17101,53.17101
3.63,6.67101,53.17101,53.17101
3.64,6.67101,53.17101,53.17101
3.65,6.67101,53.17101,53.17101
3.66,6.67101,53.17101,53.17101
3.67,6.67101,53.17101,53.17101
3.68,6.67101,53.17101,53.17101
3.69,6.67101,53.17101,53.17101
3.7,6.67101,53.17101,53.17101
3.71,6.55148,53.05148,53.05148
3.72,6.55148,53.05148,53.05148
3.73,6.55148,53.05148,53.05148
3.74,6.55148,53.05148,53.05148
3.75,6.55148,53.05148,53.05148
3.76,6.55148,53.05148,53.05148
3.77,6.55148,53.05148,53.05148
3.78,6.55148,53.05148,53.05148
3.79,6.55148,53.05148,53.05148
3.8,6.55148,53.05148,53.05148
3.81,6.55732,53.05732,53.05732
3.82,6.55732,53.05732,53.05732
3.83,6.55732,53.05732,53.05732
3.84,6.55732,53.05732,53.05732
3.85,6.55732,53.05732,53.05732
3.86,6.55732,53.05732,53.05732
3.87,6.55732,53.05732,53.05732
3.88,6.55732,53.05732,53.05732
3.89,6.55732,53.05732,53.05732
3.9,6.55732,53.05732,53.05732
3.91,6.63537,53.13537,53.13537
3.92,6.63537,53.13537,53.13537
3.93,6.63537,53.13537,53.13537
3.94,6.63537,53.13537,53.13537
3.95,6.63537,53.13537,53.13537
3.96,6.63537,53.13537,53.13537
3.97,6.63537,53.13537,53.13537
3.98,6.63537,53.13537,53.13537
3.99,6.63537,53.13537,53.13537
4,6.63537,53.13537,53.13537
4.01,6.60459,53.10459,53.10459
4.02,6.60459,53.10459,53.10459
4.03,6.60459,53.10459,53.10459
4.04,6.60459,53.10459,53.10459
4.05,6.60459,53.10459,53.10459
4.06,6.60459,53.10459,53.10459
4.07,6.60459,53.10459,53.10459
4.08,6.60459,53.10459,53.10459
4.09,6.60459,53.10459,53.10459
4.1,6.60459,53.10459,53.10459
4.11,6.66747,53.16747,53.16747
4.12,6.66747,53.16747,53.16747
4.13,6.66747,53.16747,53.16747
4.14,6.66747,53.16747,53.16747
4.15,6.66747,53.16747,53.16747
4.16,6.66747,53.16747,53.16747
4.17,6.66747,53.16747,53.16747
4.18,6.66747,53.16747,53.16747
4.19,6.66747,53.16747,53.16747
4.2,6.66747,53.16747,53.16747
4.21,6.66307,53.16307,53.16307
4.22,6.66307,53.16307,53.16307
4.23,6.66307,53.16307,53.16307
4.24,6.66307,53.16307,53.16307
4.25,6.66307,53.16307,53.16307
4.26,6.66307,53.16307,53.16307
4.27,6.66307,53.16307,53.16307
4.28,6.66307,53.16307,53.16307
4.29,6.66307,53.16307,53.16307
4.3,6.66307,53.16307,53.16307
4.31,6.60238,53.10238,53.10238
4.32,6.60238,53.10238,53.10238
4.33,6.60238,53.10238,53.10238
4.34,6.60238,53.10238,53.10238
4.35,6.60238,53.10238,53.10238
4.36,6.60238,53.10238,53.10238
4.37,6.60238,53.10238,53.10238
4.38,6.60238,53.10238,53.10238
4.39,6.60238,53.10238,53.10238
4.4,6.60238,53.10238,53.10238
4.41,6.65753,53.15753,53.15753
4.42,6.65753,53.15753,53.15753
4.43,6.65753,53.15753,53.15753
4.44,6.65753,53.15753,53.15753
4.45,6.65753,53.15753,53.15753
4.46,6.65753,53.15753,53.15753
4.47,6.65753,53.15753,53.15753
4.48,6.65753,53.15753,53.15753
4.49,6.65753,53.15753,53.15753
4.5,6.65753,53.15753,53.15753
4.51,6.67703,53.17703,53.17703
4.52,6.67703,53.17703,53.17703
4.53,6.67703,53.17703,53.17703
4.54,6.67703,53.17703,53.17703
4.55,6.67703,53.17703,53.17703
4.56,6.67703,53.17703,53.17703
4.57,6.67703,53.17703,53.17703
4.58,6.67703,53.17703,53.17703
4.59,6.67703,53.17703,53.17703
4.6,6.67703,53.17703,53.17703
4.61,6.62871,53.12871,53.12871
4.62,6.62871,53.12871,53.12871
4.63,6.62871,53.12871,53.12871
4.64,6.62871,53.12871,53.12871
4.65,6.62871,53.12871,53.12871
4.66,6.62871,53.12871,53.12871
4.67,6.62871,53.12871,53.12871
4.68,6.62871,53.12871,53.12871
4.69,6.62871,53.12871,53.12871
4.7,6.62871,53.12871,53.12871
4.71,6.65624,53.15624,53.15624
4.72,6.65624,53.15624,53.15624
4.73,6.65624,53.15624,53.15624
4.74,6.65624,53.15624,53.15624
4.75,6.65624,53.15624,53.15624
4.76,6.65624,53.15624,53.15624
4.77,6.65624,53.15624,53.15624
4.78,6.65624,53.15624,53.15624
4.79,6.65624,53.15624,53.15624
4.8,6.65624,53.15624,53.15624
4.81,6.54392,53.04392,53.04392
4.82,6.54392,53.04392,53.04392
4.83,6.54392,53.04392,53.04392
4.84,6.54392,53.04392,53.04392
4.85,6.54392,53.04392,53.04392
4.86,6.54392,53.04392,53.04392
4.87,6.54392,53.04392,53.04392
4.88,6.54392,53.04392,53.04392
4.89,6.54392,53.04392,53.04392
4.9,6.54392,53.04392,53.04392
4.91,6.53467,53.03467,53.03467
4.92,6.53467,53.03467,53.03467
4.93,6.53467,53.03467,53.03467
4.94,6.53467,53.03467,53.03467
4.95,6.53467,53.03467,53.03467
4.96,6.53467,53.03467,53.03467
4.97,6.53467,53.03467,53.03467
4.98,6.53467,53.03467,53.03467
4.99,6.53467,53.03467,53.03467
5,6.53467,53.03467,53.03467
5.01,6.68904,53.18904,53.18904
5.02,6.68904,53.18904,53.18904
5.03,6.68904,53.18904,53.18904
5.04,6.68904,53.18904,53.18904
5.05,6.68904,53.18904,53.18904
5.06,6.68904,53.18904,53.18904
5.07,6.68904,53.18904,53.18904
5.08,6.68904,53.18904,53.18904
5.09,6.68904,53.18904,53.18904
5.1,6.68904,53.18904,53.18904
5.11,6.70302,53.20302,53.20302
5.12,6.70302,53.20302,53.20302
5.13,6.70302,53.20302,53.20302
5.14,6.70302,53.20302,53.20302
5.15,6.70302,53.20302,53.20302
5.16,6.70302,53.20302,53.20302
5.17,6.70302,53.20302,53.20302
5.18,6.70302,53.20302,53.20302
5.19,6.70302,53.20302,53.20302
5.2,6.70302,53.20302,53.20302
5.21,6.62236,53.12236,53.12236
5.22,6.62236,53.12236,53.12236
5.23,6.62236,53.12236,53.12236
5.24,6.62236,53.12236,53.12236
